epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.8524,0.71074,3.56215,1.04958,0.00336,1,0.36197,0.27571,0.66567,3.58959,0.92881,0.00014,0.00014,0.00014
2,57.0171,0.57172,2.10694,0.86126,0.00336,1,0.89868,0.7868,0.45105,3.19491,0.82669,0.0002901,0.0002901,0.0002901
3,79.2569,0.61247,1.45702,0.89762,0.00336,1,0.6387,0.56283,0.50319,3.25625,0.83178,0.00042964,0.00042964,0.00042964
4,101.121,0.6838,1.25643,0.89981,1,0.3205,0.52201,0.45765,0.48303,3.24903,0.83507,0.00055862,0.00055862,0.00055862
5,122.857,0.59263,1.17106,0.89123,0.97414,0.42609,0.5602,0.47803,0.50262,3.29897,0.85644,0.00067704,0.00067704,0.00067704
6,144.855,0.53298,1.1233,0.89218,1,0.18294,0.60917,0.53849,0.48737,3.19829,0.85121,0.0007849,0.0007849,0.0007849
7,166.627,0.58739,1.13488,0.91392,0.97117,0.26957,0.56501,0.45474,0.52809,3.27154,0.8759,0.0008822,0.0008822,0.0008822
8,188.024,0.57217,1.0748,0.90789,0.90705,0.42433,0.58887,0.51239,0.46635,2.84762,0.83978,0.00096894,0.00096894,0.00096894
9,209.74,0.54555,1.0446,0.89245,0.86057,0.59037,0.86287,0.74241,0.5334,2.58703,0.85854,0.00104512,0.00104512,0.00104512
10,231.097,0.5629,0.93087,0.8932,0.92016,0.91304,0.97313,0.83799,0.53198,2.30718,0.86814,0.00111074,0.00111074,0.00111074
11,252.597,0.61651,1.05461,0.92241,0.96277,0.8996,0.97939,0.85161,0.51286,2.40852,0.8823,0.0011658,0.0011658,0.0011658
12,273.975,0.54387,1.06222,0.89749,0.98242,0.97174,0.99288,0.89894,0.4707,1.87749,0.86166,0.0012103,0.0012103,0.0012103
13,295.365,0.49255,0.93032,0.88441,0.98161,0.92827,0.98903,0.88778,0.48969,1.88351,0.86538,0.001208,0.001208,0.001208
14,317.989,0.53147,0.87233,0.89913,0.96083,0.95652,0.99116,0.8915,0.47404,1.45548,0.85773,0.001142,0.001142,0.001142
15,339.549,0.52343,1.11655,0.89774,0.99793,0.9913,0.995,0.89648,0.48554,1.35583,0.86012,0.001076,0.001076,0.001076
16,361.548,0.51205,0.88991,0.8708,0.99138,0.99991,0.9881,0.90949,0.39663,1.11336,0.83088,0.00101,0.00101,0.00101
17,383.724,0.46549,0.77694,0.86673,0.99932,1,0.995,0.90225,0.41606,1.15499,0.83243,0.000944,0.000944,0.000944
18,404.995,0.48487,0.83287,0.88676,1,0.98922,0.995,0.91124,0.41177,1.0552,0.84551,0.000878,0.000878,0.000878
19,426.055,0.47622,0.74074,0.88204,0.98714,1,0.99491,0.91581,0.40093,1.01604,0.85607,0.000812,0.000812,0.000812
20,447.089,0.45478,0.75027,0.85976,0.99916,1,0.995,0.9206,0.39137,0.97924,0.83363,0.000746,0.000746,0.000746
21,468.689,0.3819,0.91509,0.81192,0.99933,1,0.995,0.91528,0.36636,0.98453,0.81627,0.00068,0.00068,0.00068
22,489.672,0.36725,0.84603,0.81665,0.99944,1,0.995,0.90791,0.35733,0.88357,0.80913,0.000614,0.000614,0.000614
23,510.331,0.34501,0.79062,0.81601,0.99925,1,0.995,0.93596,0.33657,0.82467,0.80608,0.000548,0.000548,0.000548
24,531.033,0.36076,0.79925,0.82241,0.999,1,0.995,0.93643,0.32614,0.81572,0.80176,0.000482,0.000482,0.000482
25,551.78,0.31782,0.74345,0.7935,0.99919,1,0.995,0.96045,0.32207,0.75479,0.80334,0.000416,0.000416,0.000416
26,572.598,0.33573,0.73921,0.83461,0.99927,1,0.995,0.95106,0.29865,0.73329,0.80448,0.00035,0.00035,0.00035
27,593.339,0.36363,0.72071,0.82646,0.99935,1,0.995,0.95891,0.28209,0.71078,0.80129,0.000284,0.000284,0.000284
28,613.998,0.32859,0.71293,0.78442,0.99937,1,0.995,0.97502,0.27044,0.70939,0.79654,0.000218,0.000218,0.000218
29,634.86,0.29722,0.68553,0.78981,0.9994,1,0.995,0.98157,0.25105,0.69172,0.79257,0.000152,0.000152,0.000152
30,657.087,0.27576,0.67567,0.80253,0.99942,1,0.995,0.98058,0.24888,0.67157,0.79189,8.6e-05,8.6e-05,8.6e-05
